Time	Fe	Pt	Al2O3
0	20	3330	20
0.3	70	3840	30
0.6	100	3950	40
0.9	140	3960	20
1.2	40	3570	20
1.5	40	3680	30
1.8	40	3870	20
2.1	40	4010	30
2.4	70	3680	40
2.7	40	3840	20
3	40	3980	30
3.3	70	3770	30
3.6	50	3460	20
3.9	50	4150	10
4.2	80	4150	20
4.5	60	3730	50
4.8	80	3830	10
5.1	40	4010	0
5.4	40	3780	0
5.7	50	3860	20
6	70	3950	20
6.3	60	3840	20
6.6	60	3950	0
6.9	90	3750	20
7.2	120	3940	20
7.5	60	4060	10
7.8	40	4000	30
8.1	130	3690	20
8.4	120	4170	30
8.7	80	4110	20
9	90	3960	10
9.3	80	3960	20
9.6	80	3750	10
9.9	70	3960	20
10.2	120	4290	20
10.5	80	4200	20
10.8	60	3940	0
11.1	130	4210	10
11.4	70	4250	20
11.7	40	4160	20
12	60	3960	30
12.3	130	4380	10
12.6	50	3910	30
12.9	120	4170	10
13.2	80	4210	30
13.5	170	3810	20
13.8	120	4610	30
14.1	100	3840	20
14.4	100	3830	10
14.7	110	4230	20
15	320	4420	10
15.3	450	4250	10
15.6	710	3900	20
15.9	1280	3960	0
16.2	1960	4110	0
16.5	3140	3620	20
16.8	4510	3470	20
17.1	6100	3270	30
17.4	9020	2900	20
17.7	11900	2480	30
18	14060	2310	20
18.3	17620	1850	30
18.6	18880	1650	50
18.9	21130	1500	30
19.2	22470	1310	20
19.5	22470	1180	0
19.8	24200	1170	0
20.1	24980	860	10
20.4	25820	740	50
20.7	25870	630	60
21	27310	520	60
21.3	26550	430	40
21.6	26630	420	0
21.9	26560	450	70
22.2	26260	530	80
22.5	25830	480	40
22.8	26280	330	70
23.1	25100	230	60
23.4	25310	230	60
23.7	25070	240	50
24	24540	190	20
24.3	23590	170	20
24.6	24060	120	60
24.9	23970	200	40
25.2	22900	220	40
25.5	23290	90	50
25.8	22430	190	80
26.1	21070	130	30
26.4	22100	150	40
26.7	21990	120	40
27	20980	100	80
27.3	21170	110	50
27.6	21110	90	50
27.9	20760	60	30
28.2	19940	70	40
28.5	20150	30	20
28.8	20130	70	20
29.1	19420	140	20
29.4	19070	120	20
29.7	18990	40	30
30	19570	30	10
30.3	19340	40	40
30.6	18980	90	50
30.9	18550	50	10
31.2	17540	50	30
31.5	18430	20	30
31.8	17930	40	30
32.1	17740	70	50
32.4	18220	50	40
32.7	17090	50	0
33	17820	60	10
33.3	16520	20	40
33.6	17250	40	20
33.9	17130	30	10
34.2	16610	40	50
34.5	16770	40	0
34.8	16660	40	40
35.1	16770	40	0
35.4	16650	20	20
35.7	17060	0	20
36	16080	50	50
36.3	16000	10	20
36.6	15340	30	40
36.9	15430	20	10
37.2	15360	40	0
37.5	15740	30	40
37.8	16350	30	20
38.1	15160	60	0
38.4	15460	80	10
38.7	14710	20	0
39	15000	10	0
39.3	14850	0	60
39.6	14850	30	10
39.9	15930	30	40
40.2	15190	20	30
40.5	14040	10	40
40.8	14430	0	40
41.1	13960	10	20
41.4	14380	10	50
41.7	14850	30	40
42	14410	30	40
