Time	Fe	Pt	Al2O3
0	0	2520	0
0.3	520	4290	20
0.6	490	4690	10
0.9	590	4420	20
1.2	580	4650	0
1.5	480	5000	30
1.8	430	5080	30
2.1	470	4980	20
2.4	420	5580	20
2.7	490	4910	30
3	360	4940	20
3.3	520	4870	10
3.6	390	5140	50
3.9	530	5310	20
4.2	400	4990	20
4.5	400	4970	30
4.8	400	5290	20
5.1	360	5330	50
5.4	410	5100	10
5.7	430	5250	40
6	330	4910	20
6.3	410	5370	30
6.6	530	5480	30
6.9	560	5490	50
7.2	510	5340	10
7.5	510	5480	20
7.8	550	5120	30
8.1	650	5320	40
8.4	650	4870	10
8.7	670	5090	10
9	440	5320	20
9.3	550	5270	20
9.6	560	5360	10
9.9	790	4760	70
10.2	690	4800	30
10.5	490	5220	60
10.8	640	5380	10
11.1	700	5040	20
11.4	710	4990	30
11.7	720	5220	20
12	720	5140	40
12.3	800	4760	30
12.6	910	4980	30
12.9	760	5380	20
13.2	740	4930	20
13.5	760	4990	10
13.8	700	4900	20
14.1	970	4830	70
14.4	1040	4830	10
14.7	970	5140	20
15	1060	5050	20
15.3	980	4750	30
15.6	920	5120	60
15.9	1100	4780	40
16.2	1140	4870	20
16.5	1220	5200	30
16.8	1440	5170	10
17.1	1360	5140	40
17.4	1780	4590	20
17.7	2090	4920	50
18	2530	4540	30
18.3	2950	4760	70
18.6	3890	4740	30
18.9	4930	4050	60
19.2	6340	3900	30
19.5	8050	3900	20
19.8	9860	3740	10
20.1	12150	3090	10
20.4	13150	3110	20
20.7	15680	2540	20
21	17530	2420	10
21.3	19650	2230	30
21.6	20760	2080	30
21.9	21310	1740	10
22.2	22270	1460	0
22.5	23900	1410	50
22.8	22980	1300	20
23.1	23580	1110	30
23.4	24480	1060	50
23.7	24790	790	40
24	24070	780	70
24.3	24630	800	80
24.6	24630	530	40
24.9	24500	770	50
25.2	24470	490	40
25.5	24800	420	60
25.8	24090	440	60
26.1	23790	340	90
26.4	22350	370	40
26.7	21690	300	70
27	22890	330	30
27.3	22250	320	0
27.6	21840	340	40
27.9	21080	270	70
28.2	21350	260	50
28.5	20300	330	30
28.8	20750	220	50
29.1	20210	200	60
29.4	19710	250	60
29.7	18920	160	30
30	19320	170	0
30.3	19260	180	40
30.6	18240	110	30
30.9	17990	120	40
31.2	17820	190	0
31.5	17700	190	20
31.8	18730	200	70
32.1	17490	120	20
32.4	16710	140	0
32.7	16440	170	50
33	16850	120	40
33.3	16120	100	50
33.6	16590	80	10
33.9	16180	100	60
34.2	16060	110	20
34.5	15280	90	20
34.8	15880	60	40
35.1	15650	70	50
35.4	15690	60	20
35.7	14350	70	0
36	14910	70	0
36.3	15050	20	50
36.6	14120	50	40
36.9	14400	60	40
37.2	14140	20	30
37.5	14060	50	60
37.8	14570	80	20
38.1	13600	50	40
38.4	13040	20	20
38.7	13250	40	50
39	13160	70	40
39.3	13320	20	50
39.6	13090	20	40
39.9	13190	10	40
40.2	13040	20	80
40.5	12550	40	60
40.8	12990	50	20
41.1	12490	40	60
41.4	12440	10	50
41.7	12520	40	90
42	12690	30	50
42.3	12560	20	70
42.6	12740	60	50
42.9	12350	40	60
43.2	11870	30	60
43.5	11820	20	60
43.8	11400	10	90
44.1	11410	10	150
44.4	11120	80	120
44.7	11120	40	120
45	10590	20	120
45.3	10470	20	130
45.6	10380	30	210
45.9	10710	60	340
46.2	10580	40	360
46.5	9850	20	360
46.8	9280	20	460
47.1	9550	30	550
47.4	9470	60	760
47.7	8420	20	940
48	8540	20	750
48.3	7340	10	1110
48.6	7220	20	1180
48.9	6380	60	1590
49.2	6360	30	1950
49.5	5480	20	2420
49.8	5480	0	930
50.1	3440	50	1100
50.4	2610	20	950
50.7	2540	10	910
51	2390	20	1040
51.3	2800	30	1130
51.6	2180	50	1240
51.9	2270	10	1180
52.2	2090	30	1200
