Time	Fe	Pt	Al2O3
0	4190	1300	0
0.3	10640	1270	0
0.6	9290	1630	30
0.9	8760	1600	10
1.2	7790	1780	20
1.5	7420	1770	10
1.8	7130	2130	10
2.1	6150	2220	20
2.4	5680	2500	10
2.7	5640	2330	10
3	5250	2290	10
3.3	5080	2340	0
3.6	4880	2220	10
3.9	5010	2310	0
4.2	5000	2960	0
4.5	4900	2450	20
4.8	5040	2710	10
5.1	4810	2260	10
5.4	4820	2440	10
5.7	5020	2580	0
6	4620	2570	10
6.3	4950	2320	20
6.6	4460	2680	40
6.9	4960	2480	20
7.2	4530	2800	10
7.5	5210	2290	10
7.8	4940	2560	20
8.1	5220	2470	0
8.4	4590	2320	50
8.7	4690	2370	20
9	4910	2710	40
9.3	4550	2710	40
9.6	5380	2790	20
9.9	5100	2680	20
10.2	5270	2440	30
10.5	5050	2400	30
10.8	4710	2620	20
11.1	5010	2810	40
11.4	5090	2630	10
11.7	4950	2450	20
12	5210	2670	10
12.3	5440	2380	0
12.6	5160	2700	40
12.9	5390	2570	10
13.2	5280	2780	20
13.5	5450	2440	30
13.8	5320	2670	30
14.1	5820	2570	50
14.4	5820	2330	60
14.7	5420	2460	30
15	5490	2730	0
15.3	5910	2320	10
15.6	5820	2450	30
15.9	6150	2640	20
16.2	5750	2610	50
16.5	5610	2990	20
16.8	5880	2390	20
17.1	6280	2570	10
17.4	6220	2560	40
17.7	6230	2600	50
18	6850	2510	40
18.3	6480	2470	30
18.6	6330	2890	30
18.9	6690	2270	10
19.2	6710	2600	0
19.5	6710	2440	20
19.8	6960	2480	30
20.1	6970	2320	10
20.4	7560	2270	50
20.7	7900	2360	20
21	8800	2140	10
21.3	8640	2130	0
21.6	9130	2020	10
21.9	9940	1760	30
22.2	10880	2140	10
22.5	10940	2040	40
22.8	11090	1770	0
23.1	12400	1710	30
23.4	12740	1680	10
23.7	12730	1630	40
24	13650	1560	30
24.3	13720	1650	30
24.6	14850	1270	40
24.9	14820	1290	50
25.2	16060	1320	10
25.5	15370	1250	40
25.8	15540	1160	30
26.1	16440	1000	30
26.4	15190	1300	10
26.7	16460	1050	30
27	16000	860	20
27.3	15760	1050	30
27.6	16290	1050	50
27.9	16630	970	60
28.2	16820	1190	50
28.5	16900	900	40
28.8	16960	780	40
29.1	16490	940	50
29.4	15950	940	70
29.7	16590	700	60
30	16780	680	60
30.3	16130	730	40
30.6	16100	770	30
30.9	16490	920	60
31.2	16630	810	50
31.5	16460	610	50
31.8	16910	580	50
32.1	17090	660	50
32.4	16880	610	40
32.7	16310	720	110
33	16860	540	80
33.3	16170	700	40
33.6	16610	620	100
33.9	16760	550	60
